[09-Mar-2026 03:52:11 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[09-Mar-2026 03:53:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[09-Mar-2026 03:54:16 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:55:12 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:56:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:57:14 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:57:49 America/New_York] GPS action: get_shift_status, driver_id: 3, lat: , lng: 
[09-Mar-2026 03:57:51 America/New_York] GPS action: start_shift, driver_id: 3, lat: , lng: 
[09-Mar-2026 03:57:53 America/New_York] GPS action: get_shift_status, driver_id: 3, lat: , lng: 
[09-Mar-2026 03:57:55 America/New_York] GPS action: update_location, driver_id: 3, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:58:12 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 03:59:00 America/New_York] GPS action: update_location, driver_id: 3, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 19:43:52 America/New_York] GPS action: get_shift_status, driver_id: 1, lat: , lng: 
[09-Mar-2026 19:43:55 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
[09-Mar-2026 19:44:56 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 19:45:59 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 19:46:58 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 19:47:56 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8824341, lng: 121.03614985
[09-Mar-2026 19:49:00 America/New_York] GPS action: update_location, driver_id: 1, lat: 13.8823655, lng: 121.0363235
